existing_route,current_source,current_behavior,current_purpose,search_value,proposed_route,action,canonical_target,indexable,redirect_status,content_dependency,verification_status,notes
/healthz,backend/config/urls.py healthz(),"Live, HTTP 200, does not touch the database",Health check endpoint,None,/healthz (or platform-standard equivalent),Keep,https://<new-canonical-api-domain>/healthz,no,n/a,None,Repo-confirmed + live-checked 200 2026-08-27,
/static/<path>,backend/config/urls.py serve_static_file(),Custom static-file-finder view (not the standard Django static handler),Serves collected static assets,None,n/a (should be handled by standard static hosting in rebuild),Investigate,n/a,no,n/a,Django staticfiles finders,Repo-confirmed only,Custom view is unusual; whitenoise (already a backend dependency) normally makes this unnecessary - worth understanding why it exists before porting forward.
"/super-admin/ (ADMIN_URL_PATH, env-configurable)",backend/config/urls.py + django.contrib.admin,"Live, HTTP 302 to login, gated further by AdminAccessControlMiddleware + IsPortfolioAdmin",Django admin site - the only current content-management UI,None (must stay non-indexable/private),/ops or equivalent private admin surface (per project objective's 'protected operations UI'),Private,n/a,no,n/a,All backend models,Repo-confirmed + live-checked 302 2026-08-27,"Path itself is env-configurable (ADMIN_URL_PATH, default 'super-admin') - treat the literal path as non-public configuration, not a fixed fact."
/super-admin/dashboard/,backend/apps/core/admin_views.py admin_dashboard_view(),Staff-only custom dashboard (counts + recent contacts/service requests),Lightweight internal ops summary,None,Folded into future private operations UI,Private,n/a,no,n/a,"Project, Skill, Service, Experience, ContactMessage, ServiceRequest, ResumeVersion, AnalyticsEvent counts",Repo-confirmed only,Reasonable seed for a future CRM/ops dashboard home screen.
/api/v1/auth/login/ /logout/ /me/,backend/apps/accounts/api/urls.py,Session-based login/logout/current-user endpoints,Authentication for the admin API surface,None,Auth layer for the future protected operations UI,Keep,https://<new-canonical-api-domain>/api/v1/auth/*,no,n/a,"User, UserProfile",Repo-confirmed only,No JWT anywhere in this backend; session cookies only.
/api/v1/public/portfolio/projects/ (+ /<slug>/ + /experiences/ + /skills/ + /services/ + /education/),backend/apps/portfolio/api/urls.py,Live on the API domain; every one of these returned HTTP 500 when checked live on 2026-08-27,Public read API backing every content page's live-data fetch,"None (JSON API, not a page)",/api/* equivalents in the rebuild backend,Keep (fix underlying 500s first),https://<new-canonical-api-domain>/api/v1/public/portfolio/*,no,n/a,"Project, Experience, Skill, Service, Education models",Repo-confirmed + live-checked 500 2026-08-27 (all sub-paths tested),"See P00_EVIDENCE_FREEZE.md risk #1 - this is a live production incident, not a design question."
/api/v1/public/portfolio/experience/ (singular - called by frontend only),frontend/src/routes/index.tsx line ~718,P01A (2026-08-27): FIXED. frontend/src/routes/index.tsx now imports EXPERIENCES_ENDPOINT from frontend/src/lib/apiEndpoints.ts and calls the correct plural path. This literal singular path still does not exist on the backend by design (confirmed via a passing test: apps.portfolio.tests.ExperienceEndpointRegistrationTests.test_singular_experience_path_is_not_registered).,Intended to fetch the experience timeline for the home page,None,Fix naming to match one canonical path,n/a,n/a,no,n/a,Experience model,Fixed and test-covered 2026-08-27 (see docs/rebuild/P01A_STABILIZATION_REPORT.md); not yet re-verified against the live Vercel deployment since no deploy was performed this phase.,"Currently harmless only because ExperienceSection() renders a hardcoded array unconditionally and never reads the fetched state - a silent dead code path, not a working feature."
/api/v1/public/inquiries/contact/ (+ /service-requests/),backend/apps/inquiries/api/urls.py,"Public, unauthenticated POST endpoints; each triggers a synchronous outbound admin-notification email",Lead capture from the Contact and Services pages,None,Foundation for the future leads CRM intake,Keep (add rate limiting before relaunch),https://<new-canonical-api-domain>/api/v1/public/inquiries/*,no,n/a,"ContactMessage, ServiceRequest models; email templates",Repo-confirmed only,"No CAPTCHA/throttling visible - flag for the CRM rebuild, not fixed here."
/api/v1/public/resume/default/ (+ /<slug>/ + /<slug>/download-track/),backend/apps/resume_builder/api/urls.py,Live on the API domain; returned HTTP 500 when checked live on 2026-08-27,Backing data for the /resume page + download-event tracking,None,Foundation for future resume management API,Keep (fix underlying 500s first),https://<new-canonical-api-domain>/api/v1/public/resume/*,no,n/a,ResumeVersion model,Repo-confirmed + live-checked 500 2026-08-27,"Actual served PDF is a static frontend asset, disconnected from this API - see DATA_MODEL_INVENTORY.md."
/api/v1/public/analytics/events/,backend/apps/analytics_app/api/urls.py,Public POST endpoint for custom event tracking,"Client-side event logging (page visits, project views/clicks, resume downloads, form submits)",None,Foundation for future analytics module,Keep,https://<new-canonical-api-domain>/api/v1/public/analytics/events/,no,n/a,AnalyticsEvent model,Repo-confirmed only (not exercised live by this audit - no POST requests were sent),"Self-built event log, not integrated with any third-party analytics or Search Console."
/api/v1/public/seo/pages/<page_key>/,backend/apps/seo/api/urls.py,"Live on the API domain; not live-checked directly, but depends on the same DB that is currently 500ing for every other endpoint",Per-page SEO metadata (title/description/OG) consumed client-side by applySeo(),None,Foundation for future SEO workflow module,Keep (redesign key scheme for a real IA),https://<new-canonical-api-domain>/api/v1/public/seo/pages/*,no,n/a,PageSEO model,Repo-confirmed only,"Keyed by a hand-picked page_key string (e.g. 'home'), not related to Project/Service - will not scale to /work/[slug] or /insights/[slug] without a redesign."
/api/v1/public/site/settings/,backend/apps/site_config/api/urls.py,Live on the API domain; returned HTTP 500 when checked live on 2026-08-27,Singleton site-wide settings (name/email/phone/location/hero text/social links),None,Foundation for future settings module,Keep (fix underlying 500 first),https://<new-canonical-api-domain>/api/v1/public/site/settings/,no,n/a,SiteSetting model (forced single row),Repo-confirmed + live-checked 500 2026-08-27,
/api/v1/admin/portfolio/* (+ /inquiries/* + /resume/* + /analytics/* + /seo/* + /site/*),backend/apps/*/api/admin_urls.py (six routers/paths),DRF ModelViewSets/routers gated by IsPortfolioAdmin,"Full CRUD for every content type, used only by Django admin today (no separate admin frontend consumes these yet)",None (private API),API layer for the future protected operations UI,Keep,https://<new-canonical-api-domain>/api/v1/admin/*,no,n/a,All backend models,Repo-confirmed only,portfolio/api/admin_urls.py has an uncommitted addition (AdminProjectImageViewSet) for the in-progress gallery feature - see P00_EVIDENCE_FREEZE.md section 2.
/robots.txt (backend-served),backend/config/urls.py robots_txt(),"P01A (2026-08-27): backend view fixed to use the new PUBLIC_SITE_URL setting (default https://shahriyarkhan.vercel.app) instead of PUBLIC_BASE_URL for its Sitemap: pointer. A new STATIC frontend/public/robots.txt was also added, since the actual canonical origin (the Vercel frontend) had none - this is now the primary robots.txt search engines will actually fetch.",Dynamically generated robots directive pointing at the backend's own sitemap.xml,Now real - the frontend origin (the actual canonical domain) serves a working robots.txt as of this phase's code changes.,/robots.txt (served from the new canonical frontend/API domain),Rewrite,https://<new-canonical-domain>/robots.txt,"yes (as a file, not indexable content itself)",n/a,SiteSetting.PUBLIC_BASE_URL (used to build the sitemap link),Fixed and unit-tested locally 2026-08-27 (apps.core.tests.HealthAndWellKnownEndpointTests); confirmed present in the frontend production build output (dist/robots.txt); not yet re-checked against either live deployment since no deploy was performed.,Must be served from whichever domain search engines are actually pointed at - currently it is not.
/sitemap.xml (backend-served),backend/config/urls.py sitemap_xml(),"P01A (2026-08-27): backend sitemap_xml() now uses PUBLIC_SITE_URL for <loc> entries and will automatically exclude InsightBoard CRM now that it is seeded as draft. A new STATIC frontend/public/sitemap.xml was also added, listing only the verified public routes and explicitly excluding InsightBoard CRM.",Dynamically generated sitemap for published Projects/Services plus the 7 static frontend paths,"Now real - the frontend origin serves a working, hand-curated sitemap as of this phase.","/sitemap.xml (served from the new canonical frontend/API domain, fixed)",Rewrite,https://<new-canonical-domain>/sitemap.xml,yes (as a file),n/a,"Project, Service models","Fixed and unit-tested locally 2026-08-27 (apps.core.tests.SitemapXmlTests, including an explicit test that draft/hidden content is excluded); confirmed present in the frontend production build output (dist/sitemap.xml); the underlying database-connectivity 500 could not be confirmed fixed against live Render, since that requires actual Render environment access - see OPEN_DECISIONS.md.","Also does not include /projects/[slug]-equivalent case-study pages consistently with whatever the final IA becomes - needs regeneration logic, not just a bugfix."
/media/<path> (Django static() helper),"backend/config/urls.py (bottom, static() call)",Only actually serves files when Django DEBUG=True (Django's static() helper is a no-op otherwise); production media is expected to come from Cloudinary or a mounted disk instead,Local-development media serving,None,n/a (production media should come from object storage/CDN only),Investigate,n/a,no,n/a,"Whichever model has an ImageField/FileField (Project, ProjectImage, ResumeExport)",Repo-confirmed only,Two different production media strategies (Cloudinary vs. render.yaml's MEDIA_ROOT=/var/data/media) are configured simultaneously - see P00_EVIDENCE_FREEZE.md section 5; unclear which one is actually live.
/ (vercel.json SPA rewrite rule),frontend/vercel.json,"P01A (2026-08-27) ROOT CAUSE FOUND AND FIXED IN CODE: vercel.json lived at the monorepo root while the actual Vercel project root is frontend/ (the only directory with a package.json) - Vercel only reads vercel.json from within the configured project root, so the rewrite rule was silently ignored. Relocated to frontend/vercel.json with identical rewrite content; root-level vercel.json removed. Not yet re-deployed, so the live 404 could not be re-checked this phase.",Intended to support direct requests/refreshes on any client-side route,"n/a (infrastructure config, not content)","Same intent, must be re-verified against actual Vercel project settings in the rebuild",Rewrite,n/a,n/a,n/a,n/a,Root cause identified from repository structure alone (no live-log access needed) and fixed in code 2026-08-27; requires an actual Vercel deployment before the fix can be confirmed live - see docs/rebuild/P01A_STABILIZATION_REPORT.md Phase 6.,"Deployment-readiness checklist item: confirm in the Vercel dashboard that Project Settings -> Root Directory is set to 'frontend' (inferred, not directly observable from the repo, from the fact that the site already builds successfully even though there is no root-level package.json)."
"/* (public/_redirects, Netlify-style)",frontend/public/_redirects,Declares '/* /index.html 200' in Netlify redirect syntax; no other Netlify configuration exists anywhere in the repo,Likely a leftover from an earlier or parallel Netlify deployment attempt,n/a,n/a (retire if Netlify is not in use),Investigate,n/a,n/a,n/a,n/a,Repo-confirmed file only; no corroborating Netlify config found,Ask the owner whether Netlify is used anywhere before deleting; otherwise safe to drop in the rebuild.
/api (vite dev server proxy only),frontend/vite.config.ts,Development-only proxy forwarding /api/* to http://127.0.0.1:8000; has no effect on any deployed build,Local developer convenience,n/a,n/a (dev tooling only),"Keep (as dev tooling, not a real route)",n/a,n/a,n/a,n/a,Repo-confirmed only,Not a production route; listed here only so it is not mistaken for a missing route during migration.
